6.4091,10.316
9.1064,10.209
8.1085,7.6716
9.9429,6.5812
10.965,10.155
10.902,9.1655
10.915,9.072
11.413,7.6374
13.419,11.02
11.937,10.082
7.2333,12.224
7.9862,10.973
8.7556,11.481
12.113,9.8089
9.4118,10.439
10.443,8.1473
9.8732,11.833
9.2459,10.509
10.017,8.9924
11.68,9.3115
7.7457,11.571
12.262,11.238
12.521,10.438
9.6067,9.5138
8.942,10.656
4.3825,9.1148
12.168,9.1401
9.188,8.3747
9.9278,8.3837
7.8154,10.457
13.119,10.78
9.5166,9.6845
12.809,6.4344
8.57,9.3561
7.8065,6.2074
12.539,10.786
7.1246,9.2036
9.35,5.8129
8.006,13.631
12.276,7.8403
11.879,5.6781
12.157,9.2384
8.3828,4.1159
12.689,7.3934
8.7118,7.5165
13.635,10.448
11.731,12.347
12.828,10.803
8.2457,9.5594
10.26,10.778
20.935,18.34
20.369,16.54
18.569,21.245
19.367,20.563
20.864,20.249
18.078,22.474
21.64,19.515
21.28,21.027
21.77,20.919
17.488,21.808
16.318,19.371
21.213,19.95
23.308,20.541
21.426,19.036
19.49,20.286
18.659,21.383
24.631,19.642
19.648,22.095
22.756,20.69
19.962,20.57
20.609,20.734
16.748,19.368
18.854,20.587
19.436,16.204
21.653,20.15
21.957,21.031
19.778,22.461
18.331,18.122
21.629,19.58
17.045,21.344
19.39,20.532
19.833,22.178
20.865,23.318
20.59,21.943
19.826,21.687
16.637,15.705
22.001,23.014
21.341,21.994
19.043,20.117
17.226,17.338
20.255,16.858
19.192,21.38
17.254,21.89
18.903,20.411
22.879,20.558
19.009,22.077
18.683,17.804
18.941,14.435
18.064,17.185
20.544,20.496
28.809,27.931
27.499,30.907
30.304,32.629
27.457,30.141
30.417,30.632
31.244,28.661
32.416,30.889
30.707,30.759
27.124,30.291
27.403,26.734
26.66,29.588
24.716,31.923
27.399,29.181
28.345,26.54
28.842,29.454
26.227,28.8
30.987,28.343
30.632,30.67
30.385,28.61
29.726,31.735
29.061,29.041
28.48,30.041
31.343,30.481
32.687,28.413
30.463,31.326
31.394,29.724
31.955,32.037
31.335,26.781
29.436,30.596
27.13,28.779
27.853,30.415
31.42,30.051
27.071,33.655
31.385,30.57
27.825,29.101
28.066,30.856
29.553,31.108
32.567,27.866
30.957,30.623
30.144,31.041
25.654,32.444
27.264,29.347
29.396,32.025
31.687,29.628
27.742,28.291
31.351,33.139
27.983,28.663
30.232,28.886
30.243,28.488
28.388,29.854
41.444,37.724
39.228,37.741
41.567,44.4
39.562,39.314
39.01,37.065
41.974,36.754
36.528,39.2
39.337,38.888
40.058,41.562
39.906,39.489
37.304,41.697
38.006,39.59
39.762,37.869
37.907,40.119
39.03,39.357
38.313,41.343
41.627,40.979
39.931,39.935
41.213,36.806
39.513,37.791
39.995,36.444
40.517,41.128
